Name,Use,Link,Price,US
"Raspberry Pi Pico H x2","Microcontroller for robot","https://www.aliexpress.com/item/1005009646610678.html?spm=a2g0o.cart.0.0.5ae238dab3a3Iv&mp=1&pdp_npi=6%40dis%21GBP%21GBP%204.29%21GBP%204.29%21%21GBP%204.29%21%21%21%40210390c217676417969677438e5314%2112000049755345589%21ct%21UK%21-1%21%212%210%21","£8.62","$11.76"
"1.8\" SPI LCD Display","Screen for displaying info","https://www.aliexpress.com/item/1005008721040252.html?spm=a2g0o.productlist.main.25.501f3237yQO86V","£3.11","$4.24"
"SK6812 MINI-E RGB","LED lights for my robot","https://www.aliexpress.com/item/1005005186515165.html?spm=a2g0o.productlist.main.2.35706ab6e3eama","£0.76","$1.04"
"PAM8302 amplifier","Amplifier for the speaker on the robot","https://www.aliexpress.com/item/1005010400102160.html?spm=a2g0o.productlist.main.12.34a1z7daz7daAy","£0.34","$0.46"
"8Ω 2W round speaker","Speaker to play sound effects on the robot","https://www.aliexpress.com/item/1005007348631655.html?spm=a2g0o.productlist.main.3.27001d2ePw3tCq","£1.62","$2.21"
"2× L298N motor drivers","For the TT motors","https://www.aliexpress.com/item/1005008277888797.html?spm=a2g0o.productlist.main.4.5bd26d2aLbRqB5","£5.00","$6.82"
"4× TT motors","Motors for wheels","https://www.aliexpress.com/item/1005007805394977.html?spm=a2g0o.productlist.main.25.cd2cdJDAdJDAMM","£4.39","$5.99"
"Servo motor (180)","Moves the PLA axe weapon","https://www.aliexpress.com/item/1005010072923650.html?spm=a2g0o.productlist.main.1.3c1053ffaEhkTt","£0.76","$1.04"
"6×AA battery pack","Powers motors and components","https://www.aliexpress.com/item/1005004798582970.html?spm=a2g0o.productlist.main.15.77f69qL39qL3nQ","£0.76","$1.04"
"Breadboard","Where everything will be connected","https://www.aliexpress.com/item/1005008787753880.html?spm=a2g0o.productlist.main.1.78b556f3I1CHsN","£0.76","$1.04"
"Male header pins","(L7.5) for boost converter","https://www.aliexpress.com/item/1005008747214913.html?spm=a2g0o.productlist.main.6.7b8d2e28Eacau3","£0.76","$1.04"
"Jumper wires","Connect Pico, drivers, servo & rf receiver (20cm)","https://www.aliexpress.com/item/1005006616309305.html?spm=a2g0o.productlist.main.20.1d7253e8Gd50w1","£3.28","$4.47"
"Magnets to connect lid and main chassis","8mm x 3mm option - need holes in chassis","https://www.aliexpress.com/item/1005010051950544.html?spm=a2g0o.productlist.main.1.4847Z0xSZ0xSH4","£0.76","$1.04"
"5V buck converter","Steps down 9V battery to 5V","https://www.aliexpress.com/item/1005005305772411.html?spm=a2g0o.productlist.main.18.1069fc01oftGiw","£4.89","$6.67"
